City,City_ID,State_ID
Henderson,1,1
Los Angeles,2,2
Fort Lauderdale,3,3
Los Angeles,4,2
Concord,5,5
Seattle,6,6
Fort Worth,7,7
Madison,8,8
West Jordan,9,9
San Francisco,10,2
Fremont,11,11
Philadelphia,12,12
Orem,13,9
Los Angeles,14,2
Houston,15,7
Richardson,16,7
Houston,17,7
Naperville,18,18
Melbourne,19,3
Eagan,20,20
Westland,21,21
Dover,22,22
New Albany,23,23
New York City,24,24
Troy,25,24
Los Angeles,26,2
Gilbert,27,27
Springfield,28,28
Jackson,29,21
Memphis,30,30
Houston,31,7
Decatur,32,32
San Francisco,33,2
Durham,34,5
Chicago,35,18
Columbia,36,36
Rochester,37,20
Minneapolis,38,20
Portland,39,39
New York City,40,24
Saint Paul,41,20
Chicago,42,18
Aurora,43,43
Charlotte,44,5
Orland Park,45,18
New York City,46,24
Urbandale,47,47
Columbus,48,48
Bristol,49,30
Wilmington,50,22
Bloomington,51,18
Phoenix,52,27
Roseville,53,2
Independence,54,54
Pasadena,55,2
Newark,56,48
Franklin,57,8
Scottsdale,58,27
San Jose,59,2
Seattle,60,6
Seattle,61,6
Edmond,62,62
Los Angeles,63,2
Philadelphia,64,12
Carlsbad,65,65
San Antonio,66,7
Houston,67,7
Decatur,68,18
Monroe,69,69
Fairfield,70,70
Grand Prairie,71,7
Redlands,72,2
Hamilton,73,48
Westfield,74,74
Philadelphia,75,12
Akron,76,48
Denver,77,43
Dallas,78,7
Franklin,79,30
Whittier,80,2
Saginaw,81,21
Medina,82,48
Dublin,83,48
Detroit,84,21
Columbia,85,30
Tampa,86,3
Santa Clara,87,2
Lakeville,88,20
San Diego,89,2
Pasadena,90,7
Brentwood,91,2
Chapel Hill,92,5
Morristown,93,74
Cincinnati,94,48
San Francisco,95,2
Inglewood,96,2
Tamarac,97,3
Colorado Springs,98,43
Belleville,99,74
Taylor,100,21
Lakewood,101,74
Arlington,102,28
Arvada,103,43
Hackensack,104,74
Saint Petersburg,105,3
Philadelphia,106,12
Long Beach,107,2
Hesperia,108,2
Murfreesboro,109,30
Layton,110,9
Austin,111,7
Lowell,112,112
Columbus,113,113
Manchester,114,70
Harlingen,115,7
Tucson,116,27
Quincy,117,18
Franklin,118,112
Pembroke Pines,119,3
Des Moines,120,6
Peoria,121,18
Las Vegas,122,122
Warwick,123,123
Miami,124,3
Wilmington,125,5
Huntington Beach,126,2
Richmond,127,1
Louisville,128,43
Lawrence,129,112
Jackson,130,130
Canton,131,21
New Rochelle,132,24
Gastonia,133,5
Jacksonville,134,3
Columbus,135,23
Auburn,136,24
Norman,137,62
Concord,138,2
Park Ridge,139,18
Amarillo,140,7
Lindenhurst,141,24
Los Angeles,142,2
San Diego,143,2
Huntsville,144,7
Rochester,145,24
Fayetteville,146,146
Costa Mesa,147,2
Parker,148,43
Atlanta,149,113
Gladstone,150,54
Great Falls,151,151
Detroit,152,21
Lakeland,153,3
Montgomery,154,32
Mesa,155,27
Chicago,156,18
Green Bay,157,8
Springfield,158,48
Anaheim,159,2
Marysville,160,6
Salem,161,39
Laredo,162,7
Dallas,163,7
Grove City,164,48
New York City,165,24
Dearborn,166,21
Warner Robins,167,113
Vallejo,168,2
Mission Viejo,169,2
Plainfield,170,74
Sierra Vista,171,27
Vancouver,172,6
Aurora,173,18
Arlington,174,7
Louisville,175,1
Dallas,176,7
Cleveland,177,48
Tyler,178,7
Burlington,179,5
Waynesboro,180,28
Chester,181,12
Cary,182,5
Palm Coast,183,3
Mount Vernon,184,24
Detroit,185,21
Hialeah,186,3
Oceanside,187,24
San Diego,188,2
Evanston,189,18
Trenton,190,21
Cottage Grove,191,20
Bossier City,192,69
Des Moines,193,47
Lancaster,194,2
Richmond,195,28
Lake Elsinore,196,2
Omaha,197,11
Edmonds,198,6
Santa Ana,199,2
Milwaukee,200,8
Florence,201,1
Lorain,202,48
Linden,203,74
Salinas,204,2
New Brunswick,205,74
Lancaster,206,12
Concord,207,207
Columbia,208,208
Garland,209,7
Norwich,210,70
Alexandria,211,28
Toledo,212,48
Farmington,213,65
Riverside,214,2
Torrance,215,2
Round Rock,216,7
Oceanside,217,2
Boca Raton,218,3
Virginia Beach,219,28
Murrieta,220,2
Jacksonville,221,5
Burlington,222,47
Olympia,223,6
Washington,224,224
Jefferson City,225,54
Saint Peters,226,54
Rockford,227,18
Miami,228,3
Brownsville,229,7
Yonkers,230,24
Oakland,231,2
Monroe,232,5
Clinton,233,208
Encinitas,234,2
Roswell,235,113
Jonesboro,236,146
Richmond,237,23
Antioch,238,2
Homestead,239,3
La Porte,240,23
Lansing,241,21
Cuyahoga Falls,242,48
Reno,243,122
Harrisonburg,244,28
Escondido,245,2
Royal Oak,246,21
Rockville,247,208
Coral Springs,248,3
