Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID
CA-2020-152156,2020-11-08,2020-11-11,Second Class,CG-12520
CA-2020-138688,2020-06-12,2020-06-16,Second Class,DV-13045
US-2019-108966,2019-10-11,2019-10-18,Standard Class,SO-20335
CA-2018-115812,2018-06-09,2018-06-14,Standard Class,BH-11710
CA-2021-114412,2021-04-15,2021-04-20,Standard Class,AA-10480
CA-2020-161389,2020-12-05,2020-12-10,Standard Class,IM-15070
US-2019-118983,2019-11-22,2019-11-26,Standard Class,HP-14815
CA-2018-105893,2018-11-11,2018-11-18,Standard Class,PK-19075
CA-2018-167164,2018-05-13,2018-05-15,Second Class,AG-10270
CA-2018-143336,2018-08-27,2018-09-01,Second Class,ZD-21925
CA-2020-137330,2020-12-09,2020-12-13,Standard Class,KB-16585
US-2021-156909,2021-07-16,2021-07-18,Second Class,SF-20065
CA-2019-106320,2019-09-25,2019-09-30,Standard Class,EB-13870
CA-2020-121755,2020-01-16,2020-01-20,Second Class,EH-13945
US-2019-150630,2019-09-17,2019-09-21,Standard Class,TB-21520
CA-2021-107727,2021-10-19,2021-10-23,Second Class,MA-17560
CA-2020-117590,2020-12-08,2020-12-10,First Class,GH-14485
CA-2019-117415,2019-12-27,2019-12-31,Standard Class,SN-20710
CA-2021-120999,2021-09-10,2021-09-15,Standard Class,LC-16930
CA-2020-101343,2020-07-17,2020-07-22,Standard Class,RA-19885
CA-2021-139619,2021-09-19,2021-09-23,Standard Class,ES-14080
CA-2020-118255,2020-03-11,2020-03-13,First Class,ON-18715
CA-2018-146703,2018-10-20,2018-10-25,Second Class,PO-18865
CA-2020-169194,2020-06-20,2020-06-25,Standard Class,LH-16900
CA-2019-115742,2019-04-18,2019-04-22,Standard Class,DP-13000
CA-2020-105816,2020-12-11,2020-12-17,Standard Class,JM-15265
CA-2020-111682,2020-06-17,2020-06-18,First Class,TB-21055
CA-2019-135545,2019-11-24,2019-11-30,Standard Class,KM-16720
CA-2018-106376,2018-12-05,2018-12-10,Standard Class,BS-11590
CA-2020-119823,2020-06-04,2020-06-06,First Class,KD-16270
CA-2021-114440,2021-09-14,2021-09-17,Second Class,TB-21520
US-2019-134026,2019-04-26,2019-05-02,Standard Class,JE-15745
US-2021-118038,2021-12-09,2021-12-11,First Class,KB-16600
US-2018-147606,2018-11-26,2018-12-01,Second Class,JE-15745
CA-2020-127208,2020-06-12,2020-06-15,First Class,SC-20770
CA-2018-139451,2018-10-12,2018-10-16,Standard Class,DN-13690
CA-2019-149734,2019-09-03,2019-09-08,Standard Class,JC-16105
US-2021-119662,2021-11-13,2021-11-16,First Class,CS-12400
CA-2021-140088,2021-05-28,2021-05-30,Second Class,PO-18865
CA-2021-155558,2021-10-26,2021-11-02,Standard Class,PG-18895
CA-2020-159695,2020-04-05,2020-04-10,Second Class,GM-14455
CA-2020-109806,2020-09-17,2020-09-22,Standard Class,JS-15685
CA-2019-149587,2019-01-31,2019-02-05,Second Class,KB-16315
US-2021-109484,2021-11-06,2021-11-12,Standard Class,RB-19705
CA-2021-161018,2021-11-09,2021-11-11,Second Class,PN-18775
CA-2021-157833,2021-06-17,2021-06-20,First Class,KD-16345
CA-2020-149223,2020-09-06,2020-09-11,Standard Class,ER-13855
CA-2020-158568,2020-08-29,2020-09-02,Standard Class,RB-19465
CA-2020-129903,2020-12-01,2020-12-04,Second Class,GZ-14470
US-2019-156867,2019-11-13,2019-11-17,Standard Class,LC-16870
CA-2021-119004,2021-11-23,2021-11-28,Standard Class,JM-15250
CA-2019-129476,2019-10-15,2019-10-20,Standard Class,PA-19060
CA-2021-146780,2021-12-25,2021-12-30,Standard Class,CV-12805
CA-2020-128867,2020-11-03,2020-11-10,Standard Class,CL-12565
CA-2018-115259,2018-08-25,2018-08-27,Second Class,RC-19960
CA-2019-110457,2019-03-02,2019-03-06,Standard Class,DK-13090
US-2019-136476,2019-04-05,2019-04-10,Standard Class,GG-14650
CA-2020-103730,2020-06-12,2020-06-15,First Class,SC-20725
US-2018-152030,2018-12-26,2018-12-28,Second Class,AD-10180
US-2018-134614,2018-09-20,2018-09-25,Standard Class,PF-19165
US-2021-107272,2021-11-05,2021-11-12,Standard Class,TS-21610
US-2020-125969,2020-11-06,2020-11-10,Second Class,LS-16975
US-2021-164147,2021-02-02,2021-02-05,First Class,DW-13585
CA-2020-145583,2020-10-13,2020-10-19,Standard Class,LC-16885
