State,State_ID,Region_ID
Kentucky,1,1
California,2,2
Florida,3,1
California,4,2
North Carolina,5,1
Washington,6,2
Texas,7,3
Wisconsin,8,3
Utah,9,2
California,10,2
Nebraska,11,3
Pennsylvania,12,4
Utah,13,2
California,14,2
Texas,15,3
Texas,16,3
Texas,17,3
Illinois,18,3
Florida,19,1
Minnesota,20,3
Michigan,21,3
Delaware,22,4
Indiana,23,3
New York,24,4
New York,25,4
California,26,2
Arizona,27,2
Virginia,28,1
Michigan,29,3
Tennessee,30,1
Texas,31,3
Alabama,32,1
California,33,2
North Carolina,34,1
Illinois,35,3
South Carolina,36,1
Minnesota,37,3
Minnesota,38,3
Oregon,39,2
New York,40,4
Minnesota,41,3
Illinois,42,3
Colorado,43,2
North Carolina,44,1
Illinois,45,3
New York,46,4
Iowa,47,3
Ohio,48,4
Tennessee,49,1
Delaware,50,4
Illinois,51,3
Arizona,52,2
California,53,2
Missouri,54,3
California,55,2
Ohio,56,4
Wisconsin,57,3
Arizona,58,2
California,59,2
Washington,60,2
Washington,61,2
Oklahoma,62,3
California,63,2
Pennsylvania,64,4
New Mexico,65,2
Texas,66,3
Texas,67,3
Illinois,68,3
Louisiana,69,1
Connecticut,70,4
Texas,71,3
California,72,2
Ohio,73,4
New Jersey,74,4
Pennsylvania,75,4
Ohio,76,4
Colorado,77,2
Texas,78,3
Tennessee,79,1
California,80,2
Michigan,81,3
Ohio,82,4
Ohio,83,4
Michigan,84,3
Tennessee,85,1
Florida,86,1
California,87,2
Minnesota,88,3
California,89,2
Texas,90,3
California,91,2
North Carolina,92,1
New Jersey,93,4
Ohio,94,4
California,95,2
California,96,2
Florida,97,1
Colorado,98,2
New Jersey,99,4
Michigan,100,3
New Jersey,101,4
Virginia,102,1
Colorado,103,2
New Jersey,104,4
Florida,105,1
Pennsylvania,106,4
California,107,2
California,108,2
Tennessee,109,1
Utah,110,2
Texas,111,3
Massachusetts,112,4
Georgia,113,1
Connecticut,114,4
Texas,115,3
Arizona,116,2
Illinois,117,3
Massachusetts,118,4
Florida,119,1
Washington,120,2
Illinois,121,3
Nevada,122,2
Rhode Island,123,4
Florida,124,1
North Carolina,125,1
California,126,2
Kentucky,127,1
Colorado,128,2
Massachusetts,129,4
Mississippi,130,1
Michigan,131,3
New York,132,4
North Carolina,133,1
Florida,134,1
Indiana,135,3
New York,136,4
Oklahoma,137,3
California,138,2
Illinois,139,3
Texas,140,3
New York,141,4
California,142,2
California,143,2
Texas,144,3
New York,145,4
Arkansas,146,1
California,147,2
Colorado,148,2
Georgia,149,1
Missouri,150,3
Montana,151,2
Michigan,152,3
Florida,153,1
Alabama,154,1
Arizona,155,2
Illinois,156,3
Wisconsin,157,3
Ohio,158,4
California,159,2
Washington,160,2
Oregon,161,2
Texas,162,3
Texas,163,3
Ohio,164,4
New York,165,4
Michigan,166,3
Georgia,167,1
California,168,2
California,169,2
New Jersey,170,4
Arizona,171,2
Washington,172,2
Illinois,173,3
Texas,174,3
Kentucky,175,1
Texas,176,3
Ohio,177,4
Texas,178,3
North Carolina,179,1
Virginia,180,1
Pennsylvania,181,4
North Carolina,182,1
Florida,183,1
New York,184,4
Michigan,185,3
Florida,186,1
New York,187,4
California,188,2
Illinois,189,3
Michigan,190,3
Minnesota,191,3
Louisiana,192,1
Iowa,193,3
California,194,2
Virginia,195,1
California,196,2
Nebraska,197,3
Washington,198,2
California,199,2
Wisconsin,200,3
Kentucky,201,1
Ohio,202,4
New Jersey,203,4
California,204,2
New Jersey,205,4
Pennsylvania,206,4
New Hampshire,207,4
Maryland,208,4
Texas,209,3
Connecticut,210,4
Virginia,211,1
Ohio,212,4
New Mexico,213,2
California,214,2
California,215,2
Texas,216,3
California,217,2
Florida,218,1
Virginia,219,1
California,220,2
North Carolina,221,1
Iowa,222,3
Washington,223,2
District of Columbia,224,4
Missouri,225,3
Missouri,226,3
Illinois,227,3
Florida,228,1
Texas,229,3
New York,230,4
California,231,2
North Carolina,232,1
Maryland,233,4
California,234,2
Georgia,235,1
Arkansas,236,1
Indiana,237,3
California,238,2
Florida,239,1
Indiana,240,3
Michigan,241,3
Ohio,242,4
Nevada,243,2
Virginia,244,1
California,245,2
Michigan,246,3
Maryland,247,4
Florida,248,1
New York,249,4
Florida,250,1
