Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_address_ID
CA-2020-152156,2020-11-08,2020-11-11,Second Class,1
CA-2019-134894,2019-12-07,2019-12-11,Standard Class,2
CA-2019-162537,2019-10-28,2019-11-03,Standard Class,3
CA-2019-109470,2019-12-31,2020-01-03,Second Class,4
CA-2021-101042,2021-11-19,2021-11-23,Standard Class,5
US-2021-159205,2021-03-31,2021-04-02,Second Class,6
CA-2018-158771,2018-05-09,2018-05-09,Same Day,7
CA-2019-140830,2019-11-30,2019-12-02,Second Class,8
CA-2020-168893,2020-11-03,2020-11-08,Second Class,9
CA-2021-154123,2021-11-20,2021-11-25,Standard Class,10
CA-2021-143567,2021-11-02,2021-11-05,Second Class,11
CA-2019-119480,2019-01-09,2019-01-13,Standard Class,12
CA-2018-167199,2018-01-06,2018-01-10,Standard Class,13
CA-2018-129819,2018-12-13,2018-12-15,Second Class,14
CA-2018-136336,2018-04-21,2018-04-26,Standard Class,15
CA-2020-108105,2020-02-16,2020-02-23,Standard Class,16
CA-2021-146983,2021-09-02,2021-09-06,Standard Class,17
CA-2021-154816,2021-11-06,2021-11-10,Standard Class,18
CA-2019-128139,2019-07-03,2019-07-09,Standard Class,19
CA-2021-117695,2021-08-05,2021-08-08,First Class,20
CA-2021-158386,2021-10-16,2021-10-21,Standard Class,21
CA-2018-102274,2018-11-21,2018-11-26,Standard Class,22
CA-2021-155292,2021-10-30,2021-11-01,First Class,23
CA-2021-146535,2021-11-24,2021-11-30,Standard Class,24
CA-2018-166457,2018-05-05,2018-05-09,Second Class,25
CA-2018-152562,2018-11-01,2018-11-08,Standard Class,26
CA-2021-103009,2021-11-03,2021-11-05,Second Class,27
CA-2020-118514,2020-02-03,2020-02-10,Standard Class,28
CA-2018-114790,2018-03-11,2018-03-13,Second Class,29
US-2021-167920,2021-12-09,2021-12-12,Second Class,30
US-2018-157231,2018-04-05,2018-04-09,Standard Class,31
CA-2020-143308,2020-11-04,2020-11-04,Same Day,32
CA-2019-114300,2019-10-13,2019-10-17,Standard Class,33
CA-2020-145247,2020-05-05,2020-05-07,First Class,34
CA-2021-163510,2021-12-25,2021-12-28,Second Class,35
CA-2020-111605,2020-12-27,2021-01-02,Standard Class,35
US-2021-132297,2021-05-27,2021-06-02,Standard Class,36
US-2019-129553,2019-07-27,2019-08-02,Standard Class,37
CA-2021-151211,2021-08-17,2021-08-23,Standard Class,38
US-2020-155404,2020-09-22,2020-09-28,Standard Class,39
CA-2019-103135,2019-07-24,2019-07-28,Standard Class,40
CA-2019-107678,2019-04-21,2019-04-28,Standard Class,41
CA-2021-123687,2021-05-26,2021-05-29,First Class,42
US-2021-158526,2021-12-29,2022-01-01,Second Class,43
CA-2018-160094,2018-04-30,2018-05-02,First Class,44
US-2021-148831,2021-10-13,2021-10-15,First Class,45
US-2021-109610,2021-11-25,2021-11-30,Second Class,46
CA-2019-155635,2019-05-09,2019-05-13,Standard Class,47
CA-2021-129462,2021-06-16,2021-06-21,Second Class,48
CA-2019-102491,2019-08-24,2019-08-28,Standard Class,49
CA-2019-122168,2019-08-21,2019-08-26,Standard Class,50
CA-2021-141446,2021-09-16,2021-09-18,Second Class,51
CA-2021-121804,2021-03-03,2021-03-08,Standard Class,52
CA-2020-124772,2020-12-05,2020-12-06,First Class,53
CA-2020-157763,2020-07-18,2020-07-23,Standard Class,54
CA-2021-109589,2021-12-21,2021-12-24,First Class,55
CA-2020-109722,2020-12-05,2020-12-07,Second Class,56
CA-2020-131205,2020-09-04,2020-09-08,Standard Class,57
CA-2021-127726,2021-09-11,2021-09-13,Second Class,58
CA-2019-147879,2019-05-07,2019-05-12,Standard Class,59
CA-2018-120432,2018-08-24,2018-08-26,Second Class,60
US-2019-108966,2019-10-11,2019-10-18,Standard Class,61
CA-2018-108707,2018-10-24,2018-10-29,Standard Class,62
CA-2021-158967,2021-12-10,2021-12-12,First Class,63
CA-2021-120705,2021-09-05,2021-09-11,Standard Class,64
CA-2021-125752,2021-07-31,2021-08-04,Standard Class,65
CA-2020-141180,2020-05-15,2020-05-19,Second Class,66
CA-2020-112277,2020-09-10,2020-09-15,Standard Class,67
CA-2021-158561,2021-11-11,2021-11-16,Second Class,68
CA-2020-104276,2020-11-27,2020-12-03,Standard Class,69
CA-2018-120670,2018-11-02,2018-11-06,Standard Class,70
CA-2021-124765,2021-11-25,2021-11-30,Standard Class,71
CA-2020-136322,2020-10-21,2020-10-26,Standard Class,72
CA-2021-139619,2021-09-19,2021-09-23,Standard Class,73
US-2021-100930,2021-04-07,2021-04-12,Standard Class,74
CA-2018-145576,2018-09-14,2018-09-18,Second Class,75
CA-2018-149958,2018-03-15,2018-03-19,Standard Class,76
CA-2020-165316,2020-07-23,2020-07-27,Standard Class,77
CA-2021-139948,2021-07-17,2021-07-22,Standard Class,78
CA-2021-155089,2021-12-02,2021-12-06,Standard Class,79
US-2021-162208,2021-08-27,2021-08-30,First Class,80
CA-2020-140641,2020-10-28,2020-11-02,Standard Class,81
CA-2019-161998,2019-05-01,2019-05-05,Standard Class,82
US-2019-106495,2019-06-15,2019-06-17,First Class,83
CA-2019-125563,2019-04-11,2019-04-17,Standard Class,84
US-2020-139262,2020-02-21,2020-02-25,Standard Class,85
CA-2018-154158,2018-12-23,2018-12-27,Second Class,86
CA-2018-130428,2018-03-31,2018-03-31,Same Day,87
CA-2020-112697,2020-12-18,2020-12-20,Second Class,88
CA-2019-133977,2019-09-06,2019-09-08,Second Class,89
CA-2018-167850,2018-08-09,2018-08-16,Standard Class,90
CA-2018-106810,2018-05-14,2018-05-20,Standard Class,91
CA-2021-143861,2021-06-12,2021-06-19,Standard Class,92
CA-2018-136861,2018-09-05,2018-09-07,First Class,93
CA-2018-123400,2018-02-02,2018-02-09,Standard Class,94
CA-2019-162201,2019-06-08,2019-06-12,Standard Class,95
US-2019-168935,2019-11-27,2019-12-02,Standard Class,96
CA-2020-116232,2020-09-22,2020-09-26,Standard Class,97
CA-2021-126354,2021-02-03,2021-02-08,Standard Class,98
CA-2021-140872,2021-06-03,2021-06-10,Standard Class,99
CA-2018-113166,2018-12-24,2018-12-26,First Class,100
CA-2021-144694,2021-09-24,2021-09-26,Second Class,101
CA-2021-164917,2021-12-02,2021-12-07,Standard Class,102
